"gene","p"
"GNLY",0.380615364123009
"FFAR4",0.381052600030385
"IGHV3-74",0.383075049667811
"SALL4",0.384575142416447
"TAF5LP1",0.384733598365733
"APOL3",0.385078439523588
"DGKI",0.385138340265504
"CR2",0.387415672791286
"IGHV3-64",0.388095092181131
"AL391845.2",0.388447453835038
"IGHV1-2",0.389149695061983
"PMFBP1",0.391812276830161
"OSMR",0.39202512820976
"GREB1",0.394294764546842
"AIM2",0.396294910991293
"POSTN",0.39655408433878
"CD209",0.397266128930781
"ULBP1",0.397316631624005
"THY1",0.399155149562039
"TET1",0.399182452242806
"TRAT1",0.401662050949844
"AC007240.3",0.401808866417954
"SLC44A4",0.402191777856595
"INSYN2B",0.402507591961047
"SLC24A3",0.403079969438732
"AC108463.1",0.403110368309115
"GREM1",0.403465787460667
"ELOVL2",0.403913448130791
"MAP3K4-AS1",0.406405552371408
"USP30-AS1",0.406891545661669
"PLAAT2",0.407734729767981
"IGKV1-16",0.408037029643648
"DOK5",0.408191064716581
"GSDME",0.408907070159048
"CALHM5",0.412162249659982
"PODNL1",0.415059943512639
