"gene","HR","p","adj_p"
"SEMA3D",1.14792304641574,0.219874195160775,0.750207245061498
"CD109",1.08206705109084,0.220216518905934,0.750207245061498
"DDR2",1.07923702751545,0.219506505286536,0.750207245061498
"VANGL2",0.930734611055773,0.216189267532654,0.750207245061498
"FBLN2",1.0646074826299,0.217373633903718,0.750207245061498
"GPX8",1.10237712956341,0.22101294023939,0.750207245061498
"COX5A",0.867790915912965,0.222570710342968,0.750207245061498
"PCDH9",1.29783296571128,0.217387283102605,0.750207245061498
"PEG3",1.33027783906895,0.215383482183053,0.750207245061498
"LINC01614",1.07816710632164,0.221619806359048,0.750207245061498
