"gene","p"
"MRAS",0.00568709245003224
"TSHZ2",0.00569008163072637
"COMP",0.00570076366290673
"CCNG1",0.00570644577644556
"PEA15",0.00572219547930016
"SALL2",0.00572369899729224
"MRPL16",0.00573282760384331
"FAM132B",0.00573414684031823
"TTC19",0.00574967317278222
"MUC3B",0.00579770641203511
"PSMD6",0.00580306600285267
"SNHG11 /// SNORA60 /// SNORA71E",0.00581048712911439
"SNHG18",0.00581861756882586
"LINC00622",0.00582396319536305
"ARHGAP8 /// PRR5-ARHGAP8",0.00584872957861595
"STRA6",0.00585031576158329
"ZWINT",0.00586529415212171
"ABL2",0.00588522115072159
"VSIG4",0.00590361125753967
"PCTP",0.00591091912190367
"C12orf10",0.0059200896475261
"SETD9",0.00593316557035945
"MTMR14",0.00593849999670556
"PSMC5",0.00594060492811464
"CYP27C1",0.00596619088104176
"ERGIC3",0.0059679447238573
"PI4K2B /// SEPSECS-AS1",0.00598157207791902
"NFS1",0.00608583385411696
"MAST3",0.00610069956793544
"CLK1",0.00611348546519173
"MRPL11",0.00615522702304894
"TTLL12",0.00615544268940558
"OR7E14P",0.00616013645003752
"RP11-469M7.1",0.00618039581685461
"IL12B",0.00619108064506314
"LMNB1",0.00619748425898178
"LINC01094",0.00621745555082673
"CHN2",0.0062275146624147
"BTF3",0.00625962819309145
"DAZAP2 /// LOC102723983",0.00626019009428368
"FGF2",0.00628515575953909
"LZTS2",0.00629835095116193
"NDUFA2",0.00632492749366476
"BCKDHB",0.00632826183347673
"SLC9A3R1",0.0063301931520121
"U91328.20",0.00635023715027801
"CNOT1",0.0063608070384456
"RPS6KA1",0.0063820324828618
"MRPL22",0.00638674005427084
"GSTM1",0.00641984686357545
"YAE1D1",0.00644624033407921
"AKAP12",0.00647052121685848
"MRPL12",0.00647121807863574
"KIFC3",0.00647196028682452
"COG8 /// PDF",0.00647304421606518
"KGFLP2",0.00648145220163709
"SCRN2",0.00648201420613446
"CNTN1",0.0064864644931999
"GCAT",0.00648737492453737
"BCAT2",0.00651228609813095
"LINC00261",0.00653471293793242
"FZD9",0.00656117721106674
"HSPA1A /// HSPA1B /// HSPA1L",0.00656225527147481
"MIR10A",0.00656338003914926
"ALPL",0.00657483485042142
"E2F2",0.00662081473826163
"LIX1L",0.0066271873580214
"TRAIP",0.00663334284950405
"DGKD",0.00664338235482867
"WIBG",0.00666332811018176
"SLC12A5",0.0066649618665587
"ACOT7",0.00666911487277114
"C8orf88",0.00667424978864991
"RFC5",0.00668203837689445
"CENPV",0.00668538240561031
"BC041448 /// RP11-422J15.1",0.00672590875217913
"LOC440416",0.00672806680675349
"CCRL2",0.00674534340627352
"KLF2",0.00675133042029528
"LOC100130987",0.00675162622417872
"CECR5",0.00675780016555954
"TCHP",0.00676108560242202
"EPB41L4B",0.00677022722558435
"FGFR1",0.00677857896784951
"RCAN3",0.00678958967188714
"PLEKHG2",0.0067928864697441
"RITA1",0.00680897945841746
"FAM63B",0.00684315351683738
"PCDHB5",0.00687976576897847
"CLEC18A /// CLEC18C",0.00688164046732638
"RALY",0.00690285750549011
"ACSF2",0.0069056442463632
"VGLL3",0.00692841033097517
"NEK9",0.00693544357829552
"TMEM105",0.00696816399773468
"NOL12",0.00698704421399061
"SMDT1",0.00699150108956686
"PDLIM7",0.00700243459773312
"TRO",0.00701051847694883
"ADAMTS6",0.0070148359184239
"ADAM8",0.00702740236019092
"LOC101929897",0.0070528676743877
"PES1",0.0071181679786415
"PARP3",0.00712324791681423
"WNK2",0.00713799929370323
"CCDC12",0.00714130735137809
"PNMA1",0.00715438293702607
"DAK",0.0071598362558625
"PASK",0.00718816919287771
"PTRF",0.00719745690747561
"IFNA8",0.00720742773610547
"C3orf80",0.00721740770400209
"FKBP10",0.00723365531265391
"ATP8A2",0.00723436843289896
"MRPS9",0.00723940563246666
"CYC1",0.0072416819186659
"PCDHB1",0.00724293462695196
"CORO2B",0.00724946043684019
"STX10",0.00725740172167313
"ATP10B",0.00729393854400026
"MRPL38",0.00730345264265179
"EFNB2",0.00730651056313646
"PNLIP",0.00732014936027852
"RNF180",0.00732960838218843
"CCDC81",0.00735179097441076
"ADORA2B",0.00737383354931477
"GSTM4",0.00738154581415019
"GABRG2",0.00739379885685795
"FAM115C /// LOC101928422",0.0073976733005686
"TMTC1",0.00740736661286465
"ARSI",0.00740792879267977
"SLC25A48",0.0074174764613215
"RP1L1",0.00742215393378947
"ALOX12B",0.00742357383842367
"PRDM4",0.00744888982895111
"CHSY3",0.00746598865413607
"MCM5",0.00749281535341978
"NASP",0.0074981140047347
"NAB1",0.00752544975763048
"ZBTB8OS",0.00752891010704629
"NDUFS6",0.0075520427207345
"TMEM53",0.00755652578642208
"PLAGL2",0.00760196705301173
"TIMM10",0.00760286157022015
"ABHD2",0.00763265992081481
"RD3",0.00764262296157306
"LOC113230 /// MIR1199",0.00766114254653655
"GSR",0.00767224080931629
"ZNF823",0.00768944670384861
"PRICKLE2",0.00770770527618743
