"logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
3.18217360664467,6.88282782961106,9.47047648704721,3.98492948913529e-12,1.32211859617458e-09,17.4826492437331,"ENSG00000133110.15"
2.83338107287005,3.16583212475348,9.41423635467335,4.75045417225125e-12,1.5268426967403e-09,17.3571478532883,"ENSG00000151617.17"
2.10562259075466,8.00483309105638,9.32717000965008,6.24029844585476e-12,1.97334340853917e-09,17.0426651744324,"ENSG00000187498.16"
3.79911954225389,9.05475338838677,9.30313361322977,6.72947021816725e-12,2.09425385868869e-09,16.98771064899,"ENSG00000115414.21"
-2.59460782960693,1.56035298710563,-9.26964329281403,7.47648379681077e-12,2.29037408312925e-09,16.8910639714102,"ENSG00000104814.13"
-3.49635901642028,4.53899664656749,-9.17841802506696,9.96594718823772e-12,3.00603631650136e-09,16.6166523423963,"ENSG00000133321.11"
2.20247354889537,2.01587985079626,9.10495209708215,1.257039072893e-11,3.67843403927466e-09,16.4022943012234,"ENSG00000061337.15"
4.14296378595207,0.590640176107189,9.10533352667079,1.25552269715878e-11,3.67843403927466e-09,16.3531571445697,"ENSG00000086991.13"
2.70158884902157,4.0328986571018,9.08873791743386,1.32324161266451e-11,3.81521692027947e-09,16.3342540339132,"ENSG00000162745.10"
3.41142111820171,2.42285575674136,9.05265704495858,1.48350379290037e-11,4.15508219480068e-09,16.2441253941873,"ENSG00000011201.12"
2.40161748249718,7.12448924841554,9.0694653302138,1.40653739081829e-11,3.99660464991065e-09,16.2278917305928,"ENSG00000100234.12"
2.95845576579684,2.90427672746206,9.04207026273942,1.53415459836426e-11,4.22844907194763e-09,16.2107242664073,"ENSG00000172061.9"
3.82469011240004,3.53654980807771,9.03649805190489,1.56151302932526e-11,4.22844907194763e-09,16.1892727233428,"ENSG00000106819.13"
3.12626201624844,1.12216783914541,9.03390751191416,1.57439958304691e-11,4.22844907194763e-09,16.1608419505398,"ENSG00000180730.5"
-2.87681832010752,2.13143092376343,-8.94933092051994,2.05983130747681e-11,5.45743954248519e-09,15.9212266877383,"ENSG00000172215.6"
-2.48560061928129,1.95042975040814,-8.93253777570244,2.17294409030595e-11,5.68036557793847e-09,15.8673488276555,"ENSG00000115085.14"
1.96704228291174,7.10019646589823,8.91808879227698,2.2752844948688e-11,5.86963523768392e-09,15.7477554149392,"ENSG00000163430.12"
-3.32506522176342,-0.2970010047592,-8.87672443609276,2.59603942444602e-11,6.61012324099854e-09,15.598856284764,"ENSG00000197540.8"
2.94747933807619,-0.367018448252296,8.86222963475209,2.71895135160514e-11,6.83432823071414e-09,15.5622975776828,"ENSG00000233098.9"
-2.3255358170943,2.35477332869014,-8.79534511546303,3.36695328988645e-11,8.05030319530655e-09,15.4447297287086,"ENSG00000175463.12"
3.81239165411386,0.0676099467244168,8.81542610153917,3.15748996075695e-11,7.7382185213251e-09,15.4432148662062,"ENSG00000145244.12"
2.00451291979548,5.80398285394184,8.79943433353706,3.32318912628679e-11,8.04375876666404e-09,15.3710843824239,"ENSG00000204291.11"
3.83634964385064,-2.8164013985178,8.82253853812574,3.08650183772439e-11,7.65999430764865e-09,15.2879681627454,"ENSG00000177234.7"
2.73049351080503,5.98241009956128,8.76578394860343,3.7011500329979e-11,8.53702912317139e-09,15.2712072328822,"ENSG00000101825.8"
-3.23951659411321,-0.869266646361605,-8.76835939913085,3.67074582746494e-11,8.53702912317139e-09,15.2306911865139,"ENSG00000167664.8"
3.53193353120496,-2.44484232637295,8.78630941461926,3.46573372455766e-11,8.18664763899729e-09,15.1901421858331,"ENSG00000138311.18"
2.03712913862183,5.07172506144178,8.70937973638507,4.43478558690871e-11,9.99406968010714e-09,15.0999672402663,"ENSG00000119681.12"
2.05320306633254,5.25501682899432,8.68968095085953,4.72428767795194e-11,1.05254982061279e-08,15.0319672319322,"ENSG00000134013.16"
2.8032286327386,-2.15061688276969,8.72324471782835,4.24183059372744e-11,9.67038728146746e-09,15.0149130272331,"ENSG00000232021.7"
2.3819129852597,3.44696436974828,8.65682001762999,5.25038529534914e-11,1.14194873679145e-08,14.9913140124114,"ENSG00000145431.11"
